title,studio,domestic_gross,foreign_gross,year,movie_id,start_year,runtime_minutes,genres,averagerating,numvotes,production_budget,total_gross,worldwide_gross,roi,budget_tier,total_revenue
Toy Story 3,BV,415000000.0,652000000.0,2010,tt0435761,2010,103.0,Adventure,8.3,682218,200000000.0,1067000000.0,1067000000.0,4.335,High Budget(>$25M),1067000000.0
Toy Story 3,BV,415000000.0,652000000.0,2010,tt0435761,2010,103.0,Animation,8.3,682218,200000000.0,1067000000.0,1067000000.0,4.335,High Budget(>$25M),1067000000.0
Toy Story 3,BV,415000000.0,652000000.0,2010,tt0435761,2010,103.0,Comedy,8.3,682218,200000000.0,1067000000.0,1067000000.0,4.335,High Budget(>$25M),1067000000.0
Inception,WB,292600000.0,535700000.0,2010,tt1375666,2010,148.0,Action,8.8,1841066,160000000.0,828300000.0,828300000.0,4.176875,High Budget(>$25M),828300000.0
Inception,WB,292600000.0,535700000.0,2010,tt1375666,2010,148.0,Adventure,8.8,1841066,160000000.0,828300000.0,828300000.0,4.176875,High Budget(>$25M),828300000.0
Inception,WB,292600000.0,535700000.0,2010,tt1375666,2010,148.0,Sci-Fi,8.8,1841066,160000000.0,828300000.0,828300000.0,4.176875,High Budget(>$25M),828300000.0
Shrek Forever After,P/DW,238700000.0,513900000.0,2010,tt0892791,2010,93.0,Adventure,6.3,167532,165000000.0,752600000.0,752600000.0,3.561212121212121,High Budget(>$25M),752600000.0
Shrek Forever After,P/DW,238700000.0,513900000.0,2010,tt0892791,2010,93.0,Animation,6.3,167532,165000000.0,752600000.0,752600000.0,3.561212121212121,High Budget(>$25M),752600000.0
Shrek Forever After,P/DW,238700000.0,513900000.0,2010,tt0892791,2010,93.0,Comedy,6.3,167532,165000000.0,752600000.0,752600000.0,3.561212121212121,High Budget(>$25M),752600000.0
The Twilight Saga: Eclipse,Sum.,300500000.0,398000000.0,2010,tt1325004,2010,124.0,Adventure,5.0,211733,68000000.0,698500000.0,698500000.0,9.272058823529411,High Budget(>$25M),698500000.0
The Twilight Saga: Eclipse,Sum.,300500000.0,398000000.0,2010,tt1325004,2010,124.0,Drama,5.0,211733,68000000.0,698500000.0,698500000.0,9.272058823529411,High Budget(>$25M),698500000.0
The Twilight Saga: Eclipse,Sum.,300500000.0,398000000.0,2010,tt1325004,2010,124.0,Fantasy,5.0,211733,68000000.0,698500000.0,698500000.0,9.272058823529411,High Budget(>$25M),698500000.0
Iron Man 2,Par.,312400000.0,311500000.0,2010,tt1228705,2010,124.0,Action,7.0,657690,170000000.0,623900000.0,623900000.0,2.67,High Budget(>$25M),623900000.0
Iron Man 2,Par.,312400000.0,311500000.0,2010,tt1228705,2010,124.0,Adventure,7.0,657690,170000000.0,623900000.0,623900000.0,2.67,High Budget(>$25M),623900000.0
Iron Man 2,Par.,312400000.0,311500000.0,2010,tt1228705,2010,124.0,Sci-Fi,7.0,657690,170000000.0,623900000.0,623900000.0,2.67,High Budget(>$25M),623900000.0
Tangled,BV,200800000.0,391000000.0,2010,tt0398286,2010,100.0,Adventure,7.8,366366,260000000.0,591800000.0,591800000.0,1.2761538461538462,High Budget(>$25M),591800000.0
Tangled,BV,200800000.0,391000000.0,2010,tt0398286,2010,100.0,Animation,7.8,366366,260000000.0,591800000.0,591800000.0,1.2761538461538462,High Budget(>$25M),591800000.0
Tangled,BV,200800000.0,391000000.0,2010,tt0398286,2010,100.0,Comedy,7.8,366366,260000000.0,591800000.0,591800000.0,1.2761538461538462,High Budget(>$25M),591800000.0
Despicable Me,Uni.,251500000.0,291600000.0,2010,tt1323594,2010,95.0,Animation,7.7,464511,69000000.0,543100000.0,543100000.0,6.871014492753623,High Budget(>$25M),543100000.0
Despicable Me,Uni.,251500000.0,291600000.0,2010,tt1323594,2010,95.0,Comedy,7.7,464511,69000000.0,543100000.0,543100000.0,6.871014492753623,High Budget(>$25M),543100000.0
Despicable Me,Uni.,251500000.0,291600000.0,2010,tt1323594,2010,95.0,Family,7.7,464511,69000000.0,543100000.0,543100000.0,6.871014492753623,High Budget(>$25M),543100000.0
How to Train Your Dragon,P/DW,217600000.0,277300000.0,2010,tt0892769,2010,98.0,Action,8.1,611299,165000000.0,494900000.0,494900000.0,1.9993939393939395,High Budget(>$25M),494900000.0
How to Train Your Dragon,P/DW,217600000.0,277300000.0,2010,tt0892769,2010,98.0,Adventure,8.1,611299,165000000.0,494900000.0,494900000.0,1.9993939393939395,High Budget(>$25M),494900000.0
How to Train Your Dragon,P/DW,217600000.0,277300000.0,2010,tt0892769,2010,98.0,Animation,8.1,611299,165000000.0,494900000.0,494900000.0,1.9993939393939395,High Budget(>$25M),494900000.0
The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,104400000.0,311300000.0,2010,tt0980970,2010,113.0,Adventure,6.3,129663,155000000.0,415700000.0,415700000.0,1.6819354838709677,High Budget(>$25M),415700000.0
The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,104400000.0,311300000.0,2010,tt0980970,2010,113.0,Family,6.3,129663,155000000.0,415700000.0,415700000.0,1.6819354838709677,High Budget(>$25M),415700000.0
The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,104400000.0,311300000.0,2010,tt0980970,2010,113.0,Fantasy,6.3,129663,155000000.0,415700000.0,415700000.0,1.6819354838709677,High Budget(>$25M),415700000.0
The Karate Kid,Sony,176600000.0,182500000.0,2010,tt1155076,2010,140.0,Action,6.2,146401,40000000.0,359100000.0,359100000.0,7.9775,High Budget(>$25M),359100000.0
The Karate Kid,Sony,176600000.0,182500000.0,2010,tt1155076,2010,140.0,Drama,6.2,146401,40000000.0,359100000.0,359100000.0,7.9775,High Budget(>$25M),359100000.0
The Karate Kid,Sony,176600000.0,182500000.0,2010,tt1155076,2010,140.0,Family,6.2,146401,40000000.0,359100000.0,359100000.0,7.9775,High Budget(>$25M),359100000.0
The Karate Kid,Sony,176600000.0,182500000.0,2010,tt1155076,2010,140.0,Action,6.2,146401,8000000.0,359100000.0,359100000.0,43.8875,Low Budget(<$10M),359100000.0
The Karate Kid,Sony,176600000.0,182500000.0,2010,tt1155076,2010,140.0,Drama,6.2,146401,8000000.0,359100000.0,359100000.0,43.8875,Low Budget(<$10M),359100000.0
The Karate Kid,Sony,176600000.0,182500000.0,2010,tt1155076,2010,140.0,Family,6.2,146401,8000000.0,359100000.0,359100000.0,43.8875,Low Budget(<$10M),359100000.0
Black Swan,FoxS,107000000.0,222400000.0,2010,tt0947798,2010,108.0,Drama,8.0,648854,13000000.0,329400000.0,329400000.0,24.338461538461537,Mid Budget($10M-$25M),329400000.0
Black Swan,FoxS,107000000.0,222400000.0,2010,tt0947798,2010,108.0,Thriller,8.0,648854,13000000.0,329400000.0,329400000.0,24.338461538461537,Mid Budget($10M-$25M),329400000.0
Megamind,P/DW,148400000.0,173500000.0,2010,tt1001526,2010,95.0,Action,7.3,207488,130000000.0,321900000.0,321900000.0,1.4761538461538461,High Budget(>$25M),321900000.0
Megamind,P/DW,148400000.0,173500000.0,2010,tt1001526,2010,95.0,Animation,7.3,207488,130000000.0,321900000.0,321900000.0,1.4761538461538461,High Budget(>$25M),321900000.0
Megamind,P/DW,148400000.0,173500000.0,2010,tt1001526,2010,95.0,Comedy,7.3,207488,130000000.0,321900000.0,321900000.0,1.4761538461538461,High Budget(>$25M),321900000.0
Robin Hood,Uni.,105300000.0,216400000.0,2010,tt0955308,2010,140.0,Action,6.6,239480,210000000.0,321700000.0,321700000.0,0.5319047619047619,High Budget(>$25M),321700000.0
Robin Hood,Uni.,105300000.0,216400000.0,2010,tt0955308,2010,140.0,Adventure,6.6,239480,210000000.0,321700000.0,321700000.0,0.5319047619047619,High Budget(>$25M),321700000.0
Robin Hood,Uni.,105300000.0,216400000.0,2010,tt0955308,2010,140.0,Drama,6.6,239480,210000000.0,321700000.0,321700000.0,0.5319047619047619,High Budget(>$25M),321700000.0
Robin Hood,Uni.,105300000.0,216400000.0,2010,tt0955308,2010,140.0,Action,6.6,239480,99000000.0,321700000.0,321700000.0,2.2494949494949497,High Budget(>$25M),321700000.0
Robin Hood,Uni.,105300000.0,216400000.0,2010,tt0955308,2010,140.0,Adventure,6.6,239480,99000000.0,321700000.0,321700000.0,2.2494949494949497,High Budget(>$25M),321700000.0
